"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41717448089218,0,0
"2",0,0,0,0,0,-1.21922638360411,0,0,-1.88221425156831,-1.60091107421967,0,0.941407886266616,0,0.941301435907541,1.16868535836125,0,0,0,0,0,0,0.139042638160197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85891592325643,0,-1.48367767031399,1.1977054348625
"3",0,0,0,0,0,0,0.901680529330428,0,0,-0.0202813451655641,0,0,0,0,0,0.389895825205627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50274786264636,-2.17961030657008,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275284144795214,1.02968467387485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84364082938106,0
"5",0,0,0,0,0,0,-0.153334098393477,0,-1.04214213309483,0,0,1.24014661774509,0,0,0,0,0,0.539077916481581,1.15766506665249,0,0.627096075535213,0.904482286765727,0,0,1.02659534512182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30192217402227,-0.171976243564859,-1.08459687185849,-0.460274533881074
"6",0,0,0,0,0,0,0,0,-0.918871870017885,0.999416382485579,0,1.1189950032574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72401360811528,0,0,-0.781485060110021
"7",0,0,0,0,0,1.1086453419715,0,0,0.977521439677656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.741462974146376,0,-0.785962106052439,0.440729150812489
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0.688467707520739,0.46049454617327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84489489980094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28025057397071,-0.122346237772876
"10",0,0,0,0,0,1.71074096411252,0,0,1.03643022553113,0,0,0,0,1.92809071374741,-1.55065332446247,0.695493073314432,0,0,0,0,0,0,0.9702456498594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.268668320629714
