"","output.node","nonZero","zero","positive","negative","strong"
"V51","Forwards",5,49,3,2,2
"V52","Backwards",4,50,1,3,1
"V53","TurnClock",12,42,4,8,1
"V54","TurnCounter",7,47,3,4,1
