"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"185",185,0,8408,4136.8,4726
"186",186,0,16600,6548.8,4930
"187",187,0,10802,5116.6,6583
"188",188,0,18130,4235.4,1873
"189",189,0,17382,6176,4091
"190",190,0,16600,2265.8,0
"191",191,0,16600,2674.2,0
"192",192,0,18130,8943.8,9881
"193",193,0,16854,8930.8,11056
"194",194,0,18130,7004.8,1059
"195",195,0,18130,6141.6,1584
"196",196,0,17382,10540.4,11926
"197",197,0,16600,6920,6546
"198",198,0,16738,3890.6,0
"199",199,0,17382,11272.8,15663
"200",200,0,18130,9685.6,9954
"201",201,0,16834,7799,4666
"202",202,0,16600,5748.4,3217
"203",203,0,18130,7490.2,4602
"204",204,0,17382,9557.8,9953
"205",205,0,17382,9803.2,15425
"206",206,0,18130,5254,957
"207",207,0,18130,5497.6,36
"208",208,0,17382,5840,4711
"209",209,0,18130,11784.8,16600
"210",210,0,18130,10444.2,12935
"211",211,0,18130,8354.2,6259
"212",212,0,18130,8214.2,8163
"213",213,0,18130,8500.8,7263
"214",214,0,18130,6786.2,5200
"215",215,0,18130,7842.6,7583
"216",216,0,16600,6799.4,5319
"217",217,0,16600,5486.8,2958
"218",218,0,17382,1975.4,0
"219",219,0,18130,7999.6,4633
"220",220,0,18130,7810,3929
"221",221,0,18130,6181.6,4459
"222",222,0,18130,11484.4,16600
"223",223,0,17382,3705.8,1264
"224",224,0,18130,4240.4,0
"225",225,0,18130,8627,8388
"226",226,0,18130,8897,9819
"227",227,0,18130,11467.2,16600
"228",228,0,18130,8985.6,6711
"229",229,0,18130,4422.2,9
"230",230,0,6800,680.2,0
"231",231,0,10562,6579.8,6800
"232",232,0,10400,5342.8,6800
"233",233,0,16600,5420,2300
"234",234,0,18130,3893,99
"235",235,0,14476,3724.4,1009
"236",236,0,18130,6477.4,2404
"237",237,0,17382,6376.8,3828
"238",238,0,10400,3725,1601
"239",239,0,17382,4386.8,2235
"240",240,0,17382,8843.4,10623
"241",241,0,18130,10368.8,13683
"242",242,0,18130,8391.2,9500
"243",243,0,18130,4473.4,99
"244",244,0,18130,5634.8,351
"245",245,0,18130,10512.8,16600
"246",246,0,18130,7527,3455
"247",247,0,17382,8656.4,9083
"248",248,0,18130,8686.2,8627
"249",249,0,18130,5666.6,2340
"250",250,0,18130,5358.8,0
"251",251,0,13686,4895.8,2379
"252",252,0,14740,6076.8,5043
"253",253,0,13872,6454.4,6800
"254",254,0,13128,5473.2,5205
"255",255,0,12400,2966.2,0
"256",256,0,13004,5548.4,5562
"257",257,0,14058,2752.4,59
"258",258,0,14478,4083,1047
"259",259,0,13624,5097,18
"260",260,0,13686,6112.4,6498
"261",261,0,13934,8591.2,10649
"262",262,0,14554,4782.4,1191
"263",263,0,17850,4738.2,1064
"264",264,0,16104,8846,13562
"265",265,0,15980,3046.6,40
"266",266,0,17228,5134,4122
"267",267,0,17570,10238.8,12282
"268",268,0,4042,1605.6,310
"269",269,0,18130,6319,4718
"270",270,0,16896,3201.6,1481
"271",271,0,15794,6667,2146
"272",272,0,17430,6301.6,0
"273",273,0,16090,6279.4,1714
"274",274,0,15174,3609.2,292
"275",275,0,15856,7620.6,7022
"276",276,0,15050,3444.6,0
"277",277,0,10648,4129.6,1214
"278",278,0,13252,7610.8,9679
"279",279,0,11330,5231.2,4690
"280",280,0,14554,5902.8,3032
"281",281,0,13128,6232.8,6092
"282",282,0,14600,5477.2,2942
"283",283,0,13996,6716.6,6800
"284",284,0,15108,6870.4,6351
"285",285,0,14924,5733.6,2952
"286",286,0,12330,3707.2,456
"287",287,0,10400,4403,3978
"288",288,0,1910,382,0
"289",289,0,8880,1886.6,272
"290",290,0,12562,5197,2601
"291",291,0,8356,2808.4,1470
"292",292,0,12090,2278.2,104
"293",293,0,12150,3301.4,1548
"294",294,0,14112,3883.6,489
"295",295,2070,13810,7860,9348
"296",296,0,13036,2925.8,397
"297",297,0,11492,4864.8,4061
"298",298,0,12234,4488.6,3152
"299",299,0,13686,3582.2,943
"300",300,0,12128,4142.2,0
"301",301,0,13438,7521.2,6240
"302",302,0,10648,3393.6,1497
"303",303,0,13500,2884,0
"304",304,0,15112,7092.4,7956
"305",305,0,17246,5293.4,2595
"306",306,0,16152,5840.8,1032
"307",307,0,13500,6954,8075
"308",308,0,10796,2182.2,0
"309",309,0,16600,5828.6,4252
"310",310,0,17206,7771.4,11089
"311",311,0,18130,7869.2,6572
"312",312,0,16600,4812.8,994
"313",313,0,17382,7795.2,6457
"314",314,0,16600,4805,12
"315",315,0,16600,5107,1086
"316",316,0,16600,5228.4,3337
"317",317,0,13500,5540.4,3098
"318",318,0,13128,6410.2,6624
"319",319,0,13872,5995.4,5041
"320",320,0,13314,4513.8,3367
"321",321,0,12942,5679,5292
"322",322,0,6800,1190.2,0
"323",323,0,13686,6368.2,5735
"324",324,0,13872,5570,2602
"325",325,0,12880,3807.4,681
"326",326,0,13624,3276.4,0
"327",327,0,10400,2932.6,927
"328",328,0,13934,4629,389
"329",329,0,13376,3765.4,56
"330",330,0,12786,4389.2,1035
"331",331,0,12260,5253.2,5519
"332",332,0,13810,5039.4,2150
"333",333,0,12260,4813.4,2344
"334",334,0,13624,6587,6187
"335",335,0,13686,6157.2,4880
"336",336,0,15546,5919,3922
"337",337,0,16600,7109.2,6033
"338",338,0,16600,7971.6,8837
"339",339,0,16600,6410.2,799
"340",340,0,17368,7060.4,5531
"341",341,0,18130,9259.6,12281
"342",342,0,18130,7327.4,2488
"343",343,0,18130,8471.2,7788
"344",344,0,18130,9129.6,10305
"345",345,0,17382,9265.2,11700
"346",346,0,18130,12100.2,16600
"347",347,0,18130,6690.2,1421
"348",348,0,18130,4577,953
"349",349,0,18130,5586.6,1088
"350",350,0,18130,7108.2,806
"351",351,0,18130,7753.4,5463
"352",352,0,18130,6112.6,94
"353",353,0,18130,7126.6,1277
"354",354,0,18130,9078.6,11028
"355",355,0,16600,4902.2,1223
"356",356,0,18130,5851.2,0
"357",357,0,18130,9742,13900
"358",358,0,17382,8806.2,10049
"359",359,0,18130,5315,0
"360",360,0,18130,12260.8,16600
"361",361,0,18130,9575.8,7175
"362",362,0,18130,8318.8,8246
"363",363,0,10400,4159,1980
"364",364,0,16600,5416.6,3462
"365",365,0,10400,2159.8,0
"366",366,0,9438,1171.2,28
"367",367,0,18130,7624.6,3767
"368",368,0,17382,4542.2,111
"369",369,0,18130,5286,0
"370",370,0,18130,8803.8,8771
"371",371,0,18130,3926.4,0
"372",372,0,18130,5048.2,706
"373",373,0,18130,5972.2,343
"374",374,0,18130,8274,8537
"375",375,0,18130,6807.2,6547
"376",376,0,16600,5260.4,5328
"377",377,0,18130,4573,0
"378",378,0,18130,3707.8,0
"379",379,0,17382,4383.6,0
"380",380,0,18130,6704.2,3208
"381",381,0,16600,7324.8,6837
"382",382,0,18130,11874.8,17365
"383",383,0,18130,6714,1382
"384",384,0,16600,3531.6,19
"385",385,0,18130,5952,1268
"386",386,0,17382,7851.2,5665
"387",387,0,17382,7697.2,6544
"388",388,0,16600,6381.4,4706
"389",389,0,18130,10308,15132
"390",390,0,18130,11159.6,16600
"391",391,0,16600,4919.4,1232
"392",392,0,18130,7640,6263
"393",393,0,18130,8491.4,5648
"394",394,0,17382,10693.6,16600
"395",395,0,18130,9905.2,10601
"396",396,0,18130,8890.8,9724
"397",397,0,18130,7949,7914
"398",398,0,16600,5482.2,1218
"399",399,0,18130,6149.8,4293
"400",400,0,16600,5964.8,3443
"401",401,0,18130,9207.6,12949
"402",402,0,18130,6931.6,4034
"403",403,0,17382,7696.2,4108
