"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"295",295,1594,9408,5896.6,6491
"296",296,810,8662,4999,4748
"297",297,600,12866,6583.2,7371
"298",298,760,12024,7237.6,7765
"299",299,3480,9128,6371.2,5873
"300",300,662,8478,4133.2,3309
"301",301,668,8840,3301.4,1871
"302",302,1038,9224,5002,5138
"303",303,876,8636,3447,1493
"304",304,1308,8566,4794.4,4451
"305",305,580,9024,4967.2,5870
"306",306,1418,8746,3614.6,1594
"307",307,832,12436,5175.2,4589
"308",308,882,3100,1722.8,1594
"309",309,1114,7458,3406.2,2039
"310",310,496,5476,1629.2,1397
"311",311,510,6536,2529.2,1594
"312",312,850,5032,2045.2,1589
"313",313,678,8626,5092.6,5867
"314",314,516,7442,2411.2,1809
"315",315,836,4668,2100.4,1571
"316",316,804,8232,3663.6,3931
"317",317,598,9296,3797.4,3588
"318",318,560,5722,2981.2,3062
"319",319,518,5540,2175.6,1821
"320",320,588,8620,4032.8,4159
"321",321,590,7864,3494.6,3442
"322",322,580,7072,2886.2,2588
"323",323,740,11564,4246.6,2656
"324",324,496,7538,4270.6,4754
"325",325,602,4846,2359.2,2199
"326",326,504,4668,2278.2,1813
"327",327,1126,5654,2667.8,2409
"328",328,558,7544,3654.6,3789
"329",329,2014,8808,5254.4,4617
"330",330,1480,10884,4716.8,3519
"331",331,584,5564,2865.6,2837
"332",332,580,4848,1476.2,1331
"333",333,862,13404,3703.2,2314
"334",334,576,13404,4825.2,4310
"335",335,428,7432,4512.2,5501
"336",336,470,8754,3840,3374
"337",337,764,12584,6023.2,5985
"338",338,884,9196,5680.8,6242
"339",339,912,9886,4640.4,4343
"340",340,748,9120,4356.2,4571
"341",341,800,8658,5296.8,5772
"342",342,944,8750,4151.4,3165
"343",343,900,12044,5134.2,3652
"344",344,812,8754,6337.6,7672
"345",345,870,9710,4175.6,3019
"346",346,958,11904,2806.2,1485
"347",347,1002,12312,6476.8,7588
"348",348,1118,7406,4128,4035
"349",349,902,6528,2997.2,1779
"350",350,792,11056,4681.6,4383
"351",351,942,8378,5109.6,4870
"352",352,676,8642,4983.6,5805
"353",353,798,13128,6518.8,6974
"354",354,1594,11906,5708,4770
"355",355,800,5310,2209.8,1139
"356",356,622,4058,1733.2,1455
"357",357,1036,12562,4505.8,1963
"358",358,774,11168,4991.2,5085
"359",359,1326,6740,4221.2,4954
"360",360,926,10940,3142,1670
"361",361,926,7352,3498.6,3061
"362",362,646,11468,3454.4,2242
"363",363,1470,6998,3519.6,2958
"364",364,822,7660,3340,3059
"365",365,698,7442,3144.2,2948
"366",366,920,5158,2941.6,3031
"367",367,1086,10414,3322.2,1979
"368",368,1030,13128,5741,3751
"369",369,838,5076,2003,1586
"370",370,950,5068,2082.6,1582
"371",371,1026,5710,2810.4,1916
"372",372,944,5842,2253.2,1619
"373",373,1114,5922,3070.6,2399
"374",374,620,6496,3124.6,2752
"375",375,782,5648,3443.2,3604
"376",376,762,5710,3218.4,2987
"377",377,692,12704,4690.4,3534
"378",378,1504,5964,3361.4,3077
"379",379,952,8912,4218.8,4060
"380",380,596,5964,3425.2,3366
"381",381,486,5904,2939.8,1885
"382",382,536,7424,3148.6,2387
"383",383,1002,8132,3506.6,2858
"384",384,792,8820,3976.2,4073
"385",385,522,4124,2006.8,1431
"386",386,580,4528,1532.2,1033
"387",387,804,5394,2913.6,2666
"388",388,718,13264,4148.4,3352
"389",389,524,8820,3479,2200
"390",390,1060,11452,4750.6,4118
"391",391,972,12564,5355.6,3888
"392",392,612,13404,5104,4236
"393",393,466,9194,3654.6,3650
"394",394,886,8912,4940.4,5688
"395",395,580,12844,5144.2,5348
"396",396,446,7450,3800.4,4554
"397",397,620,8624,3539,3169
"398",398,560,6418,3971.4,4884
