"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",0,0,0,0,0,0,-0.0654135960322373,0,-0.41041407153612,-0.692932062912242,0.311946304415727,0,0,0,0,0,0,0,0,0,1.4723384283287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09378998422701,0
"2",0,0,0,0,0,-0.972058345887183,1.50390209980199,0,0,0,0,0,0,0,0,-1.58640959319708,0,0,0,0,-1.00877504410954,0,-1.87209357355574,0.951967473141849,0,0,1.18434802952566,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375285503454507,0,0,0,0,0,0,0,0,0,1.81918038079219,-0.645082483644703,0.0665003122565778,0
"3",0,0,0,0,0,0,1.54199481485902,0,0,-1.43282330777446,0,-0.284270394857801,1.33531000028405,0,0,0,0,0,0,0,0.154440554692165,0,1.19894218479136,0,0,0,0,0,0,0,-1.69974095261607,0,0.973304382133249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243095073603878,0.743487193281027,0
"4",0,0,0,0,0,-0.291723386514197,1.18355646152857,0,-1.86164675387432,0,1.13321992754936,0,0,0,0,0,1.00308140761366,0,0,0,0,0,0,0,0,1.00205402607634,0,0,0.963086164303075,0,0.350793595033649,0,0,0,1.41431241021737,0,1.57253542449325,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3679886508184,0.211879939964703,0.38169349615525,0
"5",0,0,0,0,0,-1.6248420285557,-1.73809710890055,0,0,-1.80422268455544,-0.440356881894291,1.00343837283237,-1.34943602965397,0,0,-1.51255369348931,0,1.81032913246829,0,-0.0111456439618551,0.051292470486142,0,-0.832875331765727,0.810337431434738,0,0,0.784973760177811,0.888839082792401,0,-0.238008134263127,0.888167592299673,0,0,0.982336627368472,0,-0.346252941526473,1.73537784148204,0,0,1.02713899726146,0,1.34607454203069,0,0,0,0,0,0,0,0,0,-0.289962728618511,-1.905971769442,-0.619488843669185
"6",0,0,0,0,0,0,0.226531951913706,0,-1.86716789889492,0,0,0,-0.840509850474632,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52724417186293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303142719643629,0
"7",0,0,0,0,0,1.41399840573942,0,0,0,0,-1.49723788331214,1.97851714059344,0,0,0,0,0,0,0,1.14788566850766,1.69279465917498,0,0,0,0,0,0,0,0.920636588327807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23739519622177,0,0.496558855431179,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,-1.03762560160478,-1.48625490293063,0,0,0,1.38540046680253,0,0,0,0,0,0,0,0,0.0527031591865664,0,0,0,0,0,0,0,1.12456633441457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10142290297705,1.00174701139998,0,1.71831546812025
"10",0,0,0,0,0,0,0.3089662277918,0,0,0,0,-0.551156821861647,0.928992729236493,1.013394637818,0,-0.990573261864483,0,0,0,0,0,0,0,0,0,0,1.05136692626892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
