"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"1",1,770,13148,4836,3409
"2",2,1266,9316,4712.2,5189
"3",3,554,7576,2846.8,2560
"4",4,522,9166,2791,1433
"5",5,654,7952,2985.6,1968
"6",6,716,8522,3843.2,3306
"7",7,1186,8234,2883.6,2092
"8",8,568,12862,5263.4,5430
"9",9,462,7344,3673,3992
"10",10,706,10862,4229.2,2759
"11",11,724,8322,4021.4,3523
"12",12,514,8336,3467.4,2938
"13",13,474,8226,3736,3556
"14",14,710,8624,4117.4,4355
"15",15,1398,7472,4226.8,3886
"16",16,484,9338,3312.2,1820
"17",17,456,9400,3071.6,1362
"18",18,798,5276,2518.8,2375
"19",19,602,5278,3524.6,4139
"20",20,594,11524,4077.2,1668
"21",21,722,7928,4176.4,3430
"22",22,556,7922,2846.2,2093
"23",23,860,5750,2332.6,1518
"24",24,1104,5878,2929.2,2512
"25",25,806,9266,2866.2,2637
"26",26,692,4068,1911.4,1339
"27",27,1264,7368,4099.8,4126
"28",28,684,5266,2515.2,2434
"29",29,580,5474,2551.8,2726
"30",30,770,7748,2731.8,1996
"31",31,624,6678,2142.6,1319
"32",32,718,7950,3430.2,2465
"33",33,1188,6068,3574,3781
"34",34,482,8432,4244.6,4523
"35",35,444,6032,3181.6,3310
"36",36,480,9008,3661,3896
"37",37,618,6592,3741,3771
"38",38,540,9000,3149.2,1871
"39",39,464,9392,3758.2,3345
"40",40,674,12988,5042.2,4856
"41",41,798,5590,3480.2,4322
"42",42,610,9392,3552,3525
"43",43,508,5988,2410.2,1635
"44",44,800,8436,4349.6,4816
"45",45,894,8664,4009.2,2608
"46",46,1384,9028,4651.4,4549
"47",47,1428,8662,4895.6,5548
"48",48,754,10396,4934.4,4045
"49",49,924,8720,3530.2,2415
"50",50,724,8092,4498.8,4908
"51",51,1400,11536,6599.8,6888
"52",52,828,8662,3889.4,3159
"53",53,618,9128,2790.6,1420
"54",54,850,7076,2920.8,1175
"55",55,918,9316,5058.6,5700
"56",56,720,9224,5938.8,7493
"57",57,936,12578,5501.4,4719
"58",58,566,12866,5518.2,5528
"59",59,990,8662,5166,6055
"60",60,838,12866,7108.2,6837
"61",61,658,8294,4106.2,4162
"62",62,616,9316,5911.2,6883
"63",63,1594,8732,5654.2,5986
"64",64,526,9392,4128.8,1594
"65",65,644,8944,4765.8,4651
"66",66,1004,9408,5903.6,6732
"67",67,978,9222,4557.4,2713
"68",68,1138,12320,6244,5903
"69",69,1594,13418,7512.6,8280
"70",70,594,8808,4168.2,2865
"71",71,764,8358,4017.8,3389
"72",72,742,9408,5314.6,5804
"73",73,808,8476,3897.8,3009
"74",74,862,8936,5386,6172
"75",75,628,9200,6026.4,7598
"76",76,624,10042,4218.8,3220
"77",77,622,12012,4410,3326
"78",78,1146,8470,4754.4,4255
"79",79,642,12316,5791.2,5957
"80",80,792,8662,4733.6,3894
"81",81,666,12172,3905.6,1544
"82",82,836,8946,3828.2,2785
"83",83,654,9954,3724.6,1689
"84",84,1360,12588,6851.6,7726
"85",85,690,13418,4606,3173
"86",86,850,8738,2691.4,2046
"87",87,568,7618,2543.2,1435
"88",88,934,9316,3560,2761
"89",89,1122,9220,4452.4,4297
"90",90,1554,8752,3827.2,2685
"91",91,524,4944,2087,1925
"92",92,572,13418,3194,1594
"93",93,848,5142,1928.6,1576
"94",94,554,5902,2353.2,1788
"95",95,692,5726,3301.4,2426
"96",96,854,5772,3353.8,2888
"97",97,1150,12564,5256.2,4784
"98",98,756,8286,3545,3358
"99",99,784,8286,5146.6,4770
"100",100,544,8104,3628,2480
